name,description,category,department,eligibilityCriteria,benefits,applicationProcess,requiredDocuments,incomeLimit,ageLimit,familySizeLimit,stateSpecific,isActive,sourceUrl
"Pradhan Mantri Awas Yojana (PMAY)","Housing scheme for urban poor providing financial assistance for construction of houses.","Housing","Ministry of Housing and Urban Affairs","Annual income up to ₹6 lakh for EWS, ₹6-12 lakh for LIG, ₹12-18 lakh for MIG","Interest subsidy on home loans up to ₹2.67 lakh","Apply through PMAY portal with required documents","Aadhaar card; Income certificate; Bank account details",1800000,"18-60 years",4,"All States",true,"https://www.myscheme.gov.in/"
"Pradhan Mantri Jan Dhan Yojana (PMJDY)","Financial inclusion program to ensure access to financial services for all households.","Financial Inclusion","Ministry of Finance","Any Indian citizen above 10 years of age","Zero balance bank account, RuPay debit card, overdraft facility","Visit any bank branch with KYC documents","Aadhaar card; PAN card; Address proof",,"10+ years",,"All States",true,"https://www.india.gov.in/my-government/schemes"
"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","Income support scheme for small and marginal farmers.","Agriculture","Ministry of Agriculture and Farmers Welfare","Small and marginal farmers owning cultivable land up to 2 hectares","Direct income support of ₹6,000 per year in three equal installments","Register through Common Service Centers or online portal","Land ownership documents; Aadhaar card; Bank account details",,"18+ years",,"All States",true,"https://www.myscheme.gov.in/"
"Ayushman Bharat Yojana (PM-JAY)","World's largest health insurance scheme providing coverage for secondary and tertiary care hospitalization.","Healthcare","Ministry of Health and Family Welfare","Families identified as deprived rural families and selected occupational categories of urban workers","Health insurance coverage up to ₹5 lakh per family per year","Automatic enrollment based on SECC 2011 data or through e-card generation","Aadhaar card; Ration card; Mobile number",,"All ages",,"All States",true,"https://www.india.gov.in/my-government/schemes"
"Pradhan Mantri Ujjwala Yojana (PMUY)","Clean cooking fuel scheme providing LPG connections to women from below poverty line households.","Energy","Ministry of Petroleum and Natural Gas","Women head of family from BPL households","Free LPG connection with financial support of ₹1,600","Apply through nearest LPG distributor with required documents","Aadhaar card; BPL certificate; Bank account details",,"18+ years",,"All States",true,"https://www.myscheme.gov.in/"
"Sukanya Samriddhi Yojana (SSY)","Small savings scheme for girl child welfare and education.","Education","Ministry of Women and Child Development","Girl child below 10 years of age","High interest rate, tax benefits under Section 80C","Open account at post office or authorized bank branches","Birth certificate; Aadhaar card; Guardian's ID proof",,"0-10 years",,"All States",true,"https://www.india.gov.in/my-government/schemes"
"Pradhan Mantri Mudra Yojana (PMMY)","Business loan scheme for non-corporate, non-farm small/micro enterprises.","Business","Ministry of Micro, Small and Medium Enterprises","Indian citizen with business plan for non-farm income generating activity","Loans up to ₹10 lakh under Shishu, Kishore, and Tarun categories","Apply through MUDRA affiliated banks or NBFCs","Business proof; Identity proof; Address proof",,"18-65 years",,"All States",true,"https://www.myscheme.gov.in/"
"National Rural Employment Guarantee Act (NREGA)","Social security measure guaranteeing 100 days of wage employment in a financial year.","Employment","Ministry of Rural Development","Adult members of any rural household","100 days of guaranteed wage employment per financial year","Register at Gram Panchayat with job card application","Aadhaar card; Address proof; Bank account details",,"18+ years",,"Rural Areas",true,"https://www.india.gov.in/my-government/schemes"
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","Maternity benefit program for pregnant women and lactating mothers.","Women & Child","Ministry of Women and Child Development","Pregnant women and lactating mothers for first two live births","Cash incentive of ₹5,000 in three installments","Register at Anganwadi center or online portal","Aadhaar card; Bank account details; Pregnancy proof",,"19+ years",,"All States",true,"https://www.myscheme.gov.in/"
"National Scholarship Portal (NSP)","Single platform for students to apply for various government scholarships.","Education","Ministry of Education","Students from Class 1 to PhD level based on specific scheme criteria","Financial assistance for education expenses","Register and apply online through National Scholarship Portal","Aadhaar card; Educational certificates; Income certificate",,"Varies by scheme",,"All States",true,"https://www.india.gov.in/my-government/schemes"
